#,Unnamed: 1
"""Местное время в Мурманске"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""14.05.2023 06:00"";""9.5"";""758.8"";""763.4"";""0.3"";""55"";""Ветер, дующий с юго-юго-запада"";""2"";""3"";""7"";""100%."";"" "";"""";"""";""8.2"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";"""";""50.0"";""0.9"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""14.05.2023 03:00"";""9.1"";""758.5"";""763.2"";""-0.2"";""58"";""Ветер, дующий с юго-юго-запада"";""3"";""5"";""7"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""40%."";""2500 или более, или облаков нет."";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""1.1"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 00:00"";""10.6"";""758.7"";""763.3"";""-0.6"";""51"";""Ветер, дующий с юго-юго-запада"";""4"";""6"";""6"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""0.9"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 21:00"";""14.5"";""759.3"";""763.9"";""-1.6"";""38"";""Ветер, дующий с юго-юго-запада"";""5"";""7"";"""";""70 – 80%."";"" "";"""";"""";"""";""16.0"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""0.1"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""13.05.2023 18:00"";""15.4"";""760.9"";""765.4"";""-2.1"";""41"";""Ветер, дующий с юго-юго-запада"";""4"";""6"";""9"";""60%."";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""2.0"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""13.05.2023 15:00"";""13.9"";""763.0"";""767.6"";""-1.4"";""43"";""Ветер, дующий с юго-запада"";""5"";""7"";""8"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""1.5"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 12:00"";""11.2"";""764.4"";""769.0"";""-0.4"";""59"";""Ветер, дующий с юго-юго-запада"";""5"";""7"";""8"";""40%."";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""40%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""3.3"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 09:00"";""8.2"";""764.8"";""769.4"";""0.1"";""70"";""Ветер, дующий с юга"";""3"";""5"";""6"";""90  или более, но не 100%"";"" "";"""";"""";""5.4"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""3.0"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""Снежный покров не постоянный.""",
"""13.05.2023 06:00"";""5.6"";""764.7"";""769.4"";""0.7"";""79"";""Ветер, дующий с юга"";""2"";""3"";"""";""100%."";"" "";"""";"""";""5.4"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""50.0"";""2.2"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""13.05.2023 03:00"";""6.0"";""764.0"";""768.7"";""0.7"";""78"";""Ветер, дующий с западо-юго-запада"";""1"";""1"";""8"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""50.0"";""2.4"";"""";"""";"""";"""";"""";""""",
