#,Unnamed: 1
"""Местное время на Мысе Болванский"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'""","""sss"""
"""12.05.2023 18:00"";""-1.8"";""758.5"";""759.7"";""-1.9"";""88"";""Ветер, дующий с юго-юго-запада"";""10"";"""";""14"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-3.5"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 15:00"";""-1.1"";""760.4"";""761.6"";""-1.4"";""85"";""Ветер, дующий с юга"";""10"";"""";""13"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-3.3"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 12:00"";""-1.2"";""761.8"";""763.0"";""-1.4"";""86"";""Ветер, дующий с юга"";""8"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-3.2"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 09:00"";""-3.5"";""763.2"";""764.5"";""-1.3"";""90"";""Ветер, дующий с юго-юго-востока"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-4.9"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 06:00"";""-4.8"";""764.5"";""765.7"";""-1.0"";""93"";""Ветер, дующий с юго-юго-востока"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.8"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 03:00"";""-3.5"";""765.5"";""766.7"";""-0.8"";""92"";""Ветер, дующий с юго-востока"";""6"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-4.6"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 00:00"";""-3.8"";""766.3"";""767.5"";""-0.4"";""91"";""Ветер, дующий с юго-востока"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.1"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 21:00"";""-4.3"";""766.7"";""768.0"";""-0.3"";""90"";""Ветер, дующий с юго-востока"";""8"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.7"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 18:00"";""-4.0"";""767.0"";""768.3"";""-0.2"";""89"";""Ветер, дующий с юго-востока"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.5"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 15:00"";""-3.7"";""767.2"";""768.5"";""-0.2"";""89"";""Ветер, дующий с юго-востока"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.2"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 12:00"";""-3.6"";""767.4"";""768.7"";""0.4"";""89"";""Ветер, дующий с востоко-юго-востока"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.1"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 09:00"";""-3.5"";""767.0"";""768.3"";""0.1"";""93"";""Ветер, дующий с востоко-юго-востока"";""6"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-4.5"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 06:00"";""-3.2"";""766.9"";""768.1"";""0.3"";""90"";""Ветер, дующий с юго-востока"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-4.6"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 03:00"";""-3.9"";""766.6"";""767.8"";""0.0"";""86"";""Ветер, дующий с юго-юго-востока"";""6"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.0"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 00:00"";""-4.2"";""766.6"";""767.8"";""-0.1"";""84"";""Ветер, дующий с юга"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.5"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 21:00"";""-4.1"";""766.7"";""768.0"";""0.0"";""83"";""Ветер, дующий с юга"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.6"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 18:00"";""-4.1"";""766.7"";""767.9"";""0.5"";""83"";""Ветер, дующий с севера"";""2"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.6"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 15:00"";""-4.2"";""766.2"";""767.4"";""1.1"";""81"";""Ветер, дующий с севера"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.0"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 12:00"";""-4.1"";""765.1"";""766.3"";""1.5"";""82"";""Ветер, дующий с севера"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.7"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 09:00"";""-4.7"";""763.6"";""764.8"";""1.6"";""86"";""Ветер, дующий с северо-востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.7"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 06:00"";""-5.1"";""762.0"";""763.2"";""1.8"";""93"";""Ветер, дующий с северо-востока"";""6"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-6.1"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 03:00"";""-4.6"";""760.2"";""761.5"";""1.7"";""91"";""Ветер, дующий с северо-востока"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.8"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 00:00"";""-3.9"";""758.5"";""759.7"";""1.5"";""94"";""Ветер, дующий с востоко-северо-востока"";""6"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-4.7"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 21:00"";""-1.7"";""757.0"";""758.2"";""1.2"";""96"";""Ветер, дующий с востока"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.3"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 18:00"";""-1.1"";""755.8"";""757.0"";""0.9"";""94"";""Ветер, дующий с востоко-юго-востока"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.9"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 15:00"";""-0.2"";""754.9"";""756.1"";""0.8"";""94"";""Ветер, дующий с юго-запада"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.0"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 12:00"";""0.1"";""754.1"";""755.3"";""0.7"";""93"";""Ветер, дующий с запада"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-0.9"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 09:00"";""-0.6"";""753.4"";""754.6"";""0.5"";""95"";""Ветер, дующий с запада"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.3"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 06:00"";""-2.4"";""752.9"";""754.1"";""0.4"";""95"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-3.1"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 03:00"";""-2.4"";""752.5"";""753.7"";""0.2"";""97"";""Ветер, дующий с северо-северо-запада"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.8"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 00:00"";""-0.7"";""752.3"";""753.5"";""-1.2"";""100"";""Ветер, дующий с запада"";""6"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-0.7"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 21:00"";""-1.1"";""753.5"";""754.8"";""-1.7"";""100"";""Ветер, дующий с юго-запада"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.1"";"""";"""";"""";"""";"""";""""",
