#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""03.05.2023 06:00"";""-0.9"";""760.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""8"";""10"";"""";""70 – 80%."";"" "";"""";"""";""-2.6"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""101.0""",,,,,,
"""03.05.2023 03:00"";""-2.5"";""759.0"";"""";"""";""94"";""Ветер, дующий с юго-запада"";""8"";""13"";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 21:00"";""0.2"";""757.0"";"""";"""";""94"";""Ветер, дующий с юго-запада"";""13"";""16"";"""";""20–30%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 18:00"";""0.6"";""754.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""14"";""17"";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""0.8"";"""";"""";"""";"""";"""";""20.0"";"""";""0.6"";""12"";"""";"""";"""";""""",,,,,,
"""02.05.2023 15:00"";""0.1"";""751.1"";""751.9"";"""";""98"";""Ветер, дующий с юго-запада"";""12"";""14"";""14"";""100%."";""Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоис","ыми, ",азор,ан,о-,"ождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""-0.2"";"""";"""";""""",""";"""";"""
"""02.05.2023 12:00"";""0.4"";""750.1"";""750.8"";"""";""98"";""Ветер, дующий с юго-запада"";""8"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100","."";""3",0-60,"""","""",""";""4.0"";""0.1"";"""";"""";"""";"""";"""";""""",
"""02.05.2023 09:00"";""0.8"";""749.0"";"""";"""";""98"";""Ветер, дующий с юго-запада"";""1"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 06:00"";""0.7"";"""";"""";"""";""97"";""Ветер, дующий с юга"";""9"";"""";"""";"""";"" "";"""";"""";""-0.7"";"""";"""";"""";"""";"""";"""";"""";"""";""2.0"";""12"";"""";"""";"""";""""",,,,,,
"""02.05.2023 03:00"";""1.5"";""751.6"";""752.3"";"""";""85"";""Ветер, дующий с юго-юго-востока"";""10"";""11"";""15"";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Ливень (ливни)."";""Дождь со снегом или другими видами твердых осадков"";"""";"""";""Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них."";""100%."";""600-1000"";"""";"""";""20.0"";""-0.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 00:00"";""1.3"";"""";"""";"""";""86"";""Ветер, дующий с юго-востока"";""9"";""16"";"""";""100%."";""Дождь или морось со снегом умеренные или сильные. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 21:00"";""-0.1"";""758.0"";"""";"""";""83"";""Ветер, дующий с юго-востока"";""8"";""11"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 18:00"";""0.0"";""761.0"";"""";"""";""86"";""Ветер, дующий с юго-востока"";""8"";""11"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""1.2"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""01.05.2023 15:00"";""0.9"";""763.2"";""763.9"";"""";""83"";""Ветер, дующий с юго-востока"";""8"";""10"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Буря"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";"""";""100%."";"""";"""";"""";""20.0"";""-1.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 12:00"";""0.2"";""766.0"";"""";"""";""82"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 09:00"";""-4.0"";"""";"""";"""";""83"";""Ветер, дующий с юго-востока"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 06:00"";""-7.4"";""768.0"";"""";"""";""86"";""Ветер, дующий с юго-востока"";""6"";"""";"""";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-9.9"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""105.0""",,,,,,
"""01.05.2023 03:00"";""-7.9"";""769.0"";"""";"""";""86"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""40%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 00:00"";""-9.0"";""770.0"";"""";"""";""87"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 21:00"";""-9.0"";""770.0"";"""";"""";""89"";""Ветер, дующий с юго-востока"";""6"";"""";"""";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 18:00"";""-5.7"";""770.9"";""771.7"";"""";""88"";""Ветер, дующий с востоко-юго-востока"";""7"";"""";"""";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";""-4.1"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых",или с,оист,-д,жд,"вых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""","0.0"";"""
"""30.04.2023 15:00"";""-4.2"";""771.0"";"""";"""";""89"";""Ветер, дующий с востока"";""7"";"""";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 12:00"";""-5.6"";""772.0"";"""";"""";""88"";""Ветер, дующий с востока"";""9"";""10"";"""";""Облаков нет."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 09:00"";""-7.6"";""773.0"";"""";"""";""87"";""Ветер, дующий с востока"";""1"";"""";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 06:00"";""-11.1"";""773.0"";"""";"""";""90"";""Ветер, дующий с востока"";""5"";""12"";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-12.4"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""107.0""",,,,,,
"""30.04.2023 03:00"";""-12.2"";""774.0"";"""";"""";""91"";""Ветер, дующий с востока"";""9"";""12"";"""";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 00:00"";""-7.5"";""774.0"";"""";"""";""91"";""Ветер, дующий с юго-востока"";""7"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 21:00"";""-5.9"";""774.0"";"""";"""";""91"";""Ветер, дующий с востока"";""7"";""14"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 18:00"";""-5.2"";""774.0"";"""";"""";""88"";""Ветер, дующий с востока"";""8"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-3.8"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""29.04.2023 15:00"";""-4.3"";"""";"""";"""";""84"";""Ветер, дующий с северо-востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 12:00"";""-3.9"";""775.0"";"""";"""";""88"";""Ветер, дующий с северо-востока"";""4"";""12"";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 09:00"";""-4.4"";""775.0"";"""";"""";""89"";""Ветер, дующий с севера"";""1"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 06:00"";""-5.0"";""774.0"";"""";"""";""90"";""Ветер, дующий с северо-востока"";""7"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-5.8"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""107.0""",,,,,,
"""29.04.2023 03:00"";""-5.3"";""773.9"";""774.7"";"""";""89"";""Ветер, дующий с северо-востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-6.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 00:00"";""-5.4"";""773.0"";"""";"""";""84"";""Ветер, дующий с востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 21:00"";""-5.6"";""772.0"";"""";"""";""86"";""Ветер, дующий с северо-востока"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 18:00"";""-5.2"";""772.0"";"""";"""";""87"";""Ветер, дующий с северо-востока"";""7"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-4.4"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""28.04.2023 15:00"";""-4.7"";""771.0"";"""";"""";""86"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 12:00"";""-4.6"";""770.0"";"""";"""";""85"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 09:00"";""-4.7"";""769.0"";"""";"""";""83"";""Ветер, дующий с севера"";""1"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 06:00"";""-5.8"";""769.0"";"""";"""";""86"";""Ветер, дующий с севера"";""10"";"""";"""";"""";"" "";"""";"""";""-5.8"";"""";"""";"""";"""";"""";"""";"""";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""28.04.2023 03:00"";""-3.9"";""768.0"";"""";"""";""85"";""Ветер, дующий с северо-запада"";""8"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 00:00"";""-2.9"";""768.0"";"""";"""";""81"";""Ветер, дующий с севера"";""5"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 21:00"";""-3.1"";""768.0"";"""";"""";""86"";""Ветер, дующий с севера"";""4"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 18:00"";""-2.1"";"""";"""";"""";""86"";""Ветер, дующий с севера"";""10"";"""";"""";"""";"" "";"""";"""";"""";""-1.6"";"""";"""";"""";"""";"""";"""";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""27.04.2023 15:00"";""-1.7"";""766.0"";"""";"""";""86"";""Ветер, дующий с севера"";""9"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 12:00"";""-1.8"";""764.0"";"""";"""";""86"";""Ветер, дующий с севера"";""11"";""19"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 09:00"";""-2.8"";""762.0"";"""";"""";""85"";""Ветер, дующий с севера"";""1"";"""";"""";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 06:00"";""-2.6"";""761.0"";"""";"""";""91"";""Ветер, дующий с севера"";""11"";""16"";"""";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-3.1"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""107.0""",,,,,,
"""27.04.2023 00:00"";""-1.3"";""758.0"";"""";"""";""96"";""Ветер, дующий с севера"";""9"";""11"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 21:00"";""-2.8"";""757.0"";"""";"""";""89"";""Ветер, дующий с северо-запада"";""7"";"""";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 18:00"";""-0.1"";""757.0"";"""";"""";""98"";""Ветер, дующий с запада"";""10"";""13"";"""";""100%."";""Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";""0.3"";"""";"""";"""";"""";"""";""4.0"";"""";""1.0"";""12"";"""";"""";"""";""""",,,,,,
"""26.04.2023 15:00"";""-0.3"";""758.0"";"""";"""";""95"";""Ветер, дующий с запада"";""10"";""13"";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 12:00"";""0.1"";""758.0"";"""";"""";""87"";""Ветер, дующий с юго-запада"";""9"";"""";"""";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 09:00"";""-0.9"";""759.0"";"""";"""";""86"";""Ветер, дующий с запада"";""1"";"""";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 06:00"";""-2.0"";"""";"""";"""";""92"";""Ветер, дующий с запада"";""9"";""15"";"""";"""";"" "";"""";"""";""-6.4"";"""";"""";"""";"""";"""";"""";"""";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""26.04.2023 03:00"";""-2.0"";""757.0"";"""";"""";""94"";""Ветер, дующий с запада"";""12"";""15"";"""";""40%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 00:00"";""-6.4"";""757.0"";"""";"""";""94"";""Ветер, дующий с юго-запада"";""10"";""13"";"""";""40%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 21:00"";""-5.3"";""758.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""10"";""14"";"""";""50%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 18:00"";""-2.0"";""758.0"";"""";"""";""93"";""Ветер, дующий с юго-запада"";""11"";""14"";"""";""60%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-0.4"";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""25.04.2023 15:00"";""-0.5"";""758.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""12"";""14"";"""";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 12:00"";""-0.8"";""756.0"";"""";"""";""93"";""Ветер, дующий с юго-запада"";""9"";""11"";"""";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 09:00"";""-5.3"";""755.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""1"";"""";"""";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""25.04.2023 06:00"";""-9.5"";""754.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""5"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";""-11.9"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""105.0""",,,,,,
"""25.04.2023 03:00"";""-10.7"";""753.6"";""754.3"";"""";""92"";""Ветер, дующий с юго-запада"";""5"";"""";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 8","%."";""",00-1,00,"""","ысококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых", перис
"""25.04.2023 00:00"";""-9.6"";""753.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""6"";"""";"""";""20–30%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 21:00"";""-6.2"";""754.0"";"""";"""";""94"";""Ветер, дующий с юго-запада"";""6"";""13"";"""";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 18:00"";""-3.0"";""753.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""12"";""14"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-1.3"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""24.04.2023 15:00"";""-1.6"";""753.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""9"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 12:00"";""-2.1"";""753.0"";"""";"""";""94"";""Ветер, дующий с юго-запада"";""10"";""12"";"""";""90  или более, но не 100%"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 09:00"";""-4.7"";""751.6"";""752.3"";"""";""92"";""Ветер, дующий с юго-запада"";""11"";"""";"""";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облак",в нет,""";""О",ла,ов,"нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых и",и слои
"""24.04.2023 06:00"";""-7.5"";""751.0"";"""";"""";""91"";""Ветер, дующий с юго-запада"";""9"";""14"";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-9.6"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""0.2"";""12"";"""";"""";"""";""105.0""",,,,,,
"""24.04.2023 03:00"";""-8.5"";""751.0"";"""";"""";""91"";""Ветер, дующий с юго-запада"";""10"";""14"";"""";""50%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""24.04.2023 00:00"";""-4.4"";""751.0"";"""";"""";""93"";""Ветер, дующий с юго-запада"";""7"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 21:00"";""-6.0"";"""";"""";"""";""91"";""Ветер, дующий с юго-запада"";""6"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 18:00"";""-4.3"";""751.0"";"""";"""";""85"";""Ветер, дующий с запада"";""6"";"""";"""";""60%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-2.3"";"""";"""";"""";"""";"""";""20.0"";"""";""0.8"";""12"";"""";"""";"""";""""",,,,,,
"""23.04.2023 15:00"";""-2.9"";""750.0"";"""";"""";""76"";""Ветер, дующий с запада"";""6"";""13"";"""";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 12:00"";""-2.8"";""749.0"";"""";"""";""68"";""Ветер, дующий с северо-запада"";""8"";""13"";"""";""50%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 09:00"";""-2.8"";""747.0"";"""";"""";""83"";""Ветер, дующий с северо-запада"";""1"";"""";"""";""70 – 80%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""2.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 06:00"";""-3.1"";""745.0"";"""";"""";""97"";""Ветер, дующий с северо-запада"";""14"";""17"";"""";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";"""";"""";""-3.5"";"""";"""";"""";"""";"""";"""";""2.0"";"""";""2.0"";""12"";"""";"""";"""";""105.0""",,,,,,
"""23.04.2023 03:00"";""-0.7"";""744.0"";"""";"""";""100"";""Ветер, дующий с юго-запада"";""9"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""23.04.2023 00:00"";""-1.8"";""746.0"";"""";"""";""99"";""Ветер, дующий с юго-востока"";""8"";""11"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""22.04.2023 21:00"";""-3.4"";""748.0"";"""";"""";""97"";""Ветер, дующий с востока"";""9"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
