#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""12.05.2023 18:00"";""0.4"";""757.0"";"""";"""";""99"";""Ветер, дующий с юго-востока"";""3"";"""";"""";""100%."";""Дымка. "";"""";"""";"""";""1.0"";"""";"""";"""";"""";"""";""4.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""12.05.2023 15:00"";""0.8"";""759.0"";"""";"""";""94"";""Ветер, дующий с юго-востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""12.05.2023 12:00"";""1.0"";""760.0"";"""";"""";""90"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""12.05.2023 09:00"";""0.6"";""760.3"";""761.0"";"""";""90"";""Ветер, дующий с востока"";""7"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""12.05.2023 06:00"";""-0.8"";""761.0"";"""";"""";""93"";""Ветер, дующий с востока"";""7"";"""";"""";""100%."";"" "";"""";"""";""-4.2"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""95.0""",,,,,,
"""12.05.2023 00:00"";""-2.7"";""763.0"";"""";"""";""94"";""Ветер, дующий с востока"";""6"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 21:00"";""-0.4"";""764.0"";"""";"""";""90"";""Ветер, дующий с востока"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 18:00"";""0.2"";""765.0"";"""";"""";""88"";""Ветер, дующий с востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";""0.7"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""11.05.2023 15:00"";""0.5"";""766.0"";"""";"""";""89"";""Ветер, дующий с востока"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 12:00"";""0.0"";""766.0"";"""";"""";""88"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
