#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"""Местное время в Усть-Каре"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,,,
"""05.05.2023 12:00"";""0.3"";""754.0"";"""";"""";""97"";""Ветер, дующий с юго-запада"";""7"";""10"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""05.05.2023 09:00"";""0.7"";""753.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""5"";""10"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""05.05.2023 06:00"";""0.4"";""753.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""1"";""10"";"""";""90  или более, но не 100%"";"" "";"""";"""";""-0.1"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""1.0"";""12"";"""";"""";"""";""54.0""",,,,,,,,
"""05.05.2023 03:00"";""0.0"";""753.0"";"""";"""";""94"";""Ветер, дующий с юга"";""6"";""11"";"""";""70 – 80%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""05.05.2023 00:00"";""0.7"";""753.0"";"""";"""";""94"";""Ветер, дующий с юга"";""7"";""10"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""04.05.2023 21:00"";""0.9"";""754.0"";"""";"""";""97"";""Ветер, дующий с юга"";""6"";"""";"""";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""04.05.2023 18:00"";""0.7"";""755.0"";"""";"""";""96"";""Ветер, дующий с востока"";""6"";"""";"""";""100%."";""Морось незамерзающая с перерывами слабая в срок наблюдения. "";"""";"""";"""";""0.7"";"""";"""";"""";"""";"""";""4.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""04.05.2023 15:00"";""0.3"";""757.0"";"""";"""";""96"";""Ветер, дующий с востока"";""7"";""13"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""04.05.2023 12:00"";""-0.2"";""758.0"";"""";"""";""96"";""Ветер, дующий с востока"";""8"";""13"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""04.05.2023 09:00"";""-0.5"";""759.0"";"""";"""";""94"";""Ветер, дующий с востока"";""11"";""14"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""04.05.2023 06:00"";""-1.1"";""760.0"";"""";"""";""94"";""Ветер, дующий с северо-востока"";""9"";""11"";"""";""100%."";"" "";"""";"""";""-2.5"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""60.0""",,,,,,,,
"""04.05.2023 03:00"";""-1.6"";""762.0"";"""";"""";""94"";""Ветер, дующий с северо-востока"";""8"";""10"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""04.05.2023 00:00"";""-1.1"";""763.0"";"""";"""";""93"";""Ветер, дующий с северо-востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""03.05.2023 21:00"";""-0.5"";""763.0"";"""";"""";""89"";""Ветер, дующий с юга"";""2"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""03.05.2023 18:00"";""-0.2"";""763.0"";"""";"""";""88"";""Ветер, дующий с юго-запада"";""4"";"""";"""";""60%."";"" "";"""";"""";"""";""1.4"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""03.05.2023 15:00"";""1.4"";""762.0"";"""";"""";""85"";""Ветер, дующий с юга"";""5"";""11"";"""";""60%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""03.05.2023 12:00"";""1.1"";""762.0"";"""";"""";""89"";""Ветер, дующий с юга"";""5"";""12"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""03.05.2023 09:00"";""1.4"";""761.0"";"""";"""";""83"";""Ветер, дующий с юго-запада"";""9"";""16"";"""";""20–30%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""03.05.2023 06:00"";""0.9"";""761.0"";"""";"""";""87"";""Ветер, дующий с юга"";""9"";""16"";"""";""40%."";"" "";"""";"""";""0.4"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""62.0""",,,,,,,,
"""03.05.2023 03:00"";""0.5"";""760.0"";"""";"""";""89"";""Ветер, дующий с юго-запада"";""11"";""19"";"""";""70 – 80%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""03.05.2023 00:00"";""1.2"";""758.0"";"""";"""";""88"";""Ветер, дующий с юго-запада"";""14"";""19"";"""";""40%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 21:00"";""1.4"";""757.0"";"""";"""";""90"";""Ветер, дующий с юго-запада"";""14"";""19"";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 18:00"";""1.4"";""755.0"";"""";"""";""91"";""Ветер, дующий с юга"";""10"";""13"";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";""3.0"";"""";"""";"""";"""";"""";""10.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 15:00"";""1.9"";""753.3"";""753.6"";"""";""93"";""Ветер, дующий с юга"";""9"";""13"";""15"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""10.0"";""0.9"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 12:00"";""2.5"";""752.9"";""753.2"";"""";""85"";""Ветер, дующий с юго-юго-востока"";""12"";""15"";""15"";""100%."";""Ливневый(ые) дождь(и). "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""0.2"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 09:00"";""3.0"";""755.0"";"""";"""";""73"";""Ветер, дующий с юга"";""11"";""13"";"""";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 06:00"";""-2.3"";""758.0"";"""";"""";""79"";""Ветер, дующий с востока"";""9"";""11"";"""";""100%."";"" "";"""";"""";""-6.7"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 03:00"";""-3.3"";""761.9"";""762.2"";"""";""71"";""Ветер, дующий с востоко-юго-востока"";""9"";""10"";""10"";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.9"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""02.05.2023 00:00"";""-5.6"";""765.0"";"""";"""";""67"";""Ветер, дующий с востока"";""1"";"""";"""";""60%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""01.05.2023 21:00"";""-4.3"";""767.0"";"""";"""";""69"";""Ветер, дующий с востока"";""8"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""01.05.2023 18:00"";""-4.6"";""768.0"";"""";"""";""79"";""Ветер, дующий с востока"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";""-0.5"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""01.05.2023 15:00"";""-2.0"";""770.4"";""770.8"";"""";""83"";""Ветер, дующий с востока"";""4"";"""";"""";""50%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-4.5"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""01.05.2023 12:00"";""-2.1"";""772.0"";"""";"""";""82"";""Ветер, дующий с юга"";""4"";"""";"""";""40%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""01.05.2023 09:00"";""-7.2"";""772.0"";"""";"""";""91"";""Ветер, дующий с юго-востока"";""3"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""01.05.2023 06:00"";""-12.6"";""774.0"";"""";"""";""88"";""Ветер, дующий с юга"";""2"";"""";"""";""Облаков нет."";"" "";"""";"""";""-17.4"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""67.0""",,,,,,,,
"""01.05.2023 03:00"";""-15.6"";""774.0"";"""";"""";""87"";""Ветер, дующий с юга"";""3"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""01.05.2023 00:00"";""-14.9"";""774.0"";"""";"""";""88"";""Ветер, дующий с юга"";""2"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 21:00"";""-12.5"";""775.0"";"""";"""";""89"";""Ветер, дующий с юго-востока"";""3"";"""";"""";""10%  или менее, но не 0"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 18:00"";""-9.7"";""775.5"";""775.8"";"""";""92"";""Ветер, дующий с юго-юго-востока"";""3"";"""";"""";""20–30%."";""Дымка. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";""-7.4"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""1.0"";""-10.8"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 15:00"";""-7.5"";""776.0"";"""";"""";""92"";""Штиль, безветрие"";""0"";"""";"""";""40%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 12:00"";""-7.7"";""775.0"";"""";"""";""93"";""Ветер, дующий с запада"";""2"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 09:00"";""-8.7"";""775.0"";"""";"""";""92"";""Ветер, дующий с запада"";""2"";"""";"""";""100%."";""Дымка. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""1.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 06:00"";""-9.7"";""776.0"";"""";"""";""92"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";""Дымка. "";"""";"""";""-10.4"";"""";"""";"""";"""";"""";"""";""2.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 03:00"";""-10.1"";""775.0"";"""";"""";""92"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";""Дымка. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""2.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""30.04.2023 00:00"";""-9.3"";""775.0"";"""";"""";"""";""Ветер, дующий с северо-запада"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""29.04.2023 21:00"";""-7.7"";""775.0"";"""";"""";""94"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""29.04.2023 18:00"";""-6.3"";""774.0"";"""";"""";""94"";""Ветер, дующий с северо-запада"";""5"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-5.0"";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""29.04.2023 15:00"";""-5.1"";""774.0"";"""";"""";""91"";""Ветер, дующий с севера"";""7"";""10"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""29.04.2023 12:00"";""-5.9"";""772.3"";""772.6"";"""";""90"";""Ветер, дующий с северо-северо-запада"";""7"";"""";""10"";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";"""";""10.0"";""-7.3"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""29.04.2023 09:00"";""-6.6"";""771.0"";"""";"""";""90"";""Ветер, дующий с севера"";""1"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""29.04.2023 06:00"";""-8.2"";""770.0"";"""";"""";""93"";""Ветер, дующий с северо-запада"";""8"";""11"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-8.3"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""67.0""",,,,,,,,
"""29.04.2023 03:00"";""-7.0"";""770.0"";"""";"""";""94"";""Ветер, дующий с северо-запада"";""9"";""11"";"""";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""29.04.2023 00:00"";""-5.9"";""769.0"";"""";"""";""93"";""Ветер, дующий с северо-запада"";""6"";""11"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""28.04.2023 21:00"";""-6.4"";""768.0"";"""";"""";""91"";""Ветер, дующий с севера"";""9"";""14"";"""";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""28.04.2023 18:00"";""-5.9"";""768.0"";"""";"""";""91"";""Ветер, дующий с севера"";""8"";""15"";"""";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-5.0"";"""";"""";"""";"""";"""";""10.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""28.04.2023 15:00"";""-5.9"";""767.0"";"""";"""";""91"";""Ветер, дующий с севера"";""9"";""14"";"""";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""28.04.2023 12:00"";""-5.5"";""765.0"";"""";"""";""87"";""Ветер, дующий с севера"";""9"";""12"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""28.04.2023 09:00"";""-7.0"";""764.0"";"""";"""";""82"";""Ветер, дующий с севера"";""9"";""12"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";""-7.1"";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""28.04.2023 06:00"";""-6.0"";""763.0"";"""";"""";""90"";""Ветер, дующий с северо-запада"";""8"";""10"";"""";""100%."";"" "";"""";"""";""-6.9"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""66.0""",,,,,,,,
"""28.04.2023 03:00"";""-6.9"";""763.0"";"""";"""";""90"";""Ветер, дующий с севера"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""28.04.2023 00:00"";""-4.7"";""763.0"";"""";"""";""93"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""27.04.2023 21:00"";""-4.3"";""763.0"";"""";"""";""93"";""Ветер, дующий с севера"";""5"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""27.04.2023 18:00"";""-6.3"";""763.0"";"""";"""";""92"";""Ветер, дующий с севера"";""6"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";""-2.4"";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""27.04.2023 15:00"";""-4.7"";""762.0"";"""";"""";""93"";""Ветер, дующий с севера"";""1"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""27.04.2023 12:00"";""-2.7"";""761.0"";"""";"""";""90"";""Ветер, дующий с северо-востока"";""9"";""10"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""27.04.2023 09:00"";""-3.0"";""760.0"";"""";"""";""91"";""Ветер, дующий с севера"";""4"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""27.04.2023 06:00"";""-4.5"";""759.0"";"""";"""";""93"";""Ветер, дующий с востока"";""4"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";""-4.6"";"""";"""";"""";"""";"""";"""";""4.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""66.0""",,,,,,,,
"""27.04.2023 03:00"";""-3.8"";""758.6"";""758.9"";"""";""95"";""Ветер, дующий с юго-юго-востока"";""4"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Метель"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";"""";""4.0"";""-4.5"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""27.04.2023 00:00"";""-3.5"";""759.0"";"""";"""";""95"";""Ветер, дующий с юго-востока"";""6"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""26.04.2023 21:00"";""-2.6"";""759.0"";"""";"""";""90"";""Ветер, дующий с юго-востока"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""26.04.2023 18:00"";""-1.8"";""759.0"";"""";"""";""93"";""Ветер, дующий с юга"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""-0.2"";"""";"""";"""";"""";"""";""10.0"";"""";""0.3"";""12"";"""";"""";"""";""""",,,,,,,,
"""26.04.2023 15:00"";""-0.3"";""759.0"";"""";"""";""88"";""Ветер, дующий с юго-запада"";""6"";""13"";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""26.04.2023 12:00"";""-1.7"";""758.0"";"""";"""";""90"";""Ветер, дующий с юга"";""8"";""13"";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""26.04.2023 09:00"";""-4.5"";""758.0"";"""";"""";""93"";""Ветер, дующий с юга"";""9"";""13"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""26.04.2023 06:00"";""-6.1"";""759.0"";"""";"""";""86"";""Ветер, дующий с юга"";""9"";""13"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-6.4"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""66.0""",,,,,,,,
"""26.04.2023 03:00"";""-6.1"";""759.0"";"""";"""";""92"";""Ветер, дующий с юга"";""7"";""12"";"""";""70 – 80%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""26.04.2023 00:00"";""-1.8"";""759.0"";"""";"""";""92"";""Ветер, дующий с юга"";""9"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""25.04.2023 21:00"";""-2.0"";""758.0"";"""";"""";""91"";""Ветер, дующий с юга"";""8"";""13"";"""";""90  или более, но не 100%"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""25.04.2023 18:00"";""-2.0"";""757.0"";"""";"""";""90"";""Ветер, дующий с юго-запада"";""9"";""13"";"""";""90  или более, но не 100%"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-1.8"";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""25.04.2023 15:00"";""-2.5"";""757.0"";""757.3"";"""";""85"";""Ветер, дующий с юго-юго-запада"";""9"";""12"";""12"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";"""";""20.0"";""-4.7"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""25.04.2023 12:00"";""-2.9"";""755.0"";"""";"""";""86"";""Ветер, дующий с юго-запада"";""8"";""12"";"""";""60%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""25.04.2023 09:00"";""-3.3"";""754.0"";"""";"""";""90"";""Ветер, дующий с юга"";""7"";""10"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""25.04.2023 06:00"";""-5.0"";""753.0"";"""";"""";""91"";""Ветер, дующий с юго-запада"";""6"";""10"";"""";"""";"" "";"""";"""";""-5.3"";"""";"""";"""";"""";"""";"""";"""";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""25.04.2023 03:00"";""-3.6"";""752.7"";""753.0"";"""";""89"";""Ветер, дующий с юго-запада"";""5"";"""";""13"";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.2"";"""";"""";"""";"""";"""";""""",,,,,,,,
