#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"""Местное время в Усть-Каре"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,,,
"""13.05.2023 03:00"";""-2.3"";""756.0"";"""";"""";""84"";""Ветер, дующий с юга"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""13.05.2023 00:00"";""-7.1"";""759.0"";"""";"""";""82"";""Ветер, дующий с юго-востока"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""12.05.2023 21:00"";""-5.3"";""761.0"";"""";"""";""79"";""Ветер, дующий с юго-востока"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""12.05.2023 18:00"";""-3.8"";""763.0"";"""";"""";""85"";""Ветер, дующий с востока"";""5"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";""-2.9"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""12.05.2023 15:00"";""-3.0"";""764.0"";"""";"""";""83"";""Ветер, дующий с востока"";""5"";"""";"""";""10%  или менее, но не 0"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""12.05.2023 12:00"";""-4.9"";""766.0"";"""";"""";""83"";""Ветер, дующий с востока"";""8"";"""";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""12.05.2023 09:00"";""-6.8"";""767.0"";"""";"""";""86"";""Ветер, дующий с востока"";""7"";""10"";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""12.05.2023 06:00"";""-9.2"";""768.0"";"""";"""";""85"";""Ветер, дующий с востока"";""7"";"""";"""";""Облаков нет."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-9.3"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""54.0""",,,,,,,,
"""12.05.2023 03:00"";""-8.8"";""769.0"";"""";"""";""87"";""Ветер, дующий с востока"";""7"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""12.05.2023 00:00"";""-8.7"";""769.0"";"""";"""";""87"";""Ветер, дующий с востока"";""7"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
