#,Unnamed: 1
"""Местное время на мысе Канин Нос"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""14.05.2023 06:00"";""3.0"";""758.3"";""762.8"";""-1.5"";""87"";""Ветер, дующий с юга"";""9"";""11"";""14"";""60%."";"" "";"""";"""";""0.9"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""1.1"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.""","""60.0"""
"""14.05.2023 03:00"";""2.4"";""759.8"";""764.3"";""-2.4"";""89"";""Ветер, дующий с юго-юго-востока"";""11"";""13"";""14"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";"""";"""";""20.0"";""0.8"";"""";"""";"""";"""";"""";""""",
"""14.05.2023 00:00"";""1.5"";""762.2"";""766.7"";""-1.2"";""95"";""Ветер, дующий с юга"";""8"";""10"";""11"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""0.8"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 21:00"";""1.1"";""763.4"";""768.0"";""-1.3"";""94"";""Ветер, дующий с юго-юго-востока"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""0.3"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 18:00"";""1.1"";""764.7"";""769.2"";""-0.3"";""95"";""Ветер, дующий с юга"";""6"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";""1.9"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""0.4"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""13.05.2023 15:00"";""1.5"";""765.0"";""769.6"";""0.5"";""86"";""Ветер, дующий с запада"";""3"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.6"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 12:00"";""1.4"";""764.5"";""769.0"";""1.5"";""86"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""-0.7"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 09:00"";""0.7"";""763.0"";""767.5"";""1.9"";""93"";""Ветер, дующий с северо-северо-запада"";""6"";"""";""11"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""-0.3"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 06:00"";""0.6"";""761.1"";""765.7"";""1.8"";""98"";""Ветер, дующий с севера"";""8"";""10"";""11"";""100%."";"" "";"""";"""";""0.4"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""0.3"";""0.2"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""60.0""",
"""13.05.2023 03:00"";""0.4"";""759.3"";""763.9"";""1.7"";""100"";""Ветер, дующий с севера"";""9"";""11"";""11"";""100%."";""Туман или ледяной туман. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""0.4"";"""";"""";"""";"""";"""";""""",
"""13.05.2023 00:00"";""1.5"";""757.6"";""762.1"";""1.0"";""100"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""1.5"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 21:00"";""1.7"";""756.6"";""761.1"";""0.7"";""100"";""Ветер, дующий с северо-запада"";""5"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Дождь."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""1.7"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 18:00"";""1.8"";""755.9"";""760.4"";""0.4"";""100"";""Ветер, дующий с западо-северо-запада"";""3"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Дождь незамерзающий с перерывами слабый в срок наблюдения. "";""Дождь."";""Туман или ледяной туман или сильная мгла."";"""";""2.5"";"""";"""";"""";"""";"""";""0.5"";""1.8"";""0.1"";""12"";"""";"""";"""";""""",
"""12.05.2023 15:00"";""2.2"";""755.5"";""759.9"";""0.3"";""100"";""Ветер, дующий с юго-юго-запада"";""3"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""2.2"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 12:00"";""2.0"";""755.2"";""759.7"";""0.0"";""100"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""2.0"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 09:00"";""1.9"";""755.2"";""759.7"";""0.0"";""99"";""Ветер, дующий с запада"";""2"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""1.8"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 06:00"";""1.3"";""755.2"";""759.7"";""-0.1"";""100"";""Ветер, дующий с запада"";""2"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";""0.8"";"""";"""";"""";"""";"""";"""";""0.5"";""1.3"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""60.0""",
"""12.05.2023 03:00"";""1.5"";""755.3"";""759.8"";""-0.2"";""100"";""Ветер, дующий с западо-юго-запада"";""1"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""1.5"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 00:00"";""0.9"";""755.5"";""760.0"";""0.2"";""100"";""Ветер, дующий с юга"";""3"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""0.9"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 21:00"";""1.6"";""755.3"";""759.8"";""0.0"";""100"";""Ветер, дующий с юга"";""4"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""1.6"";"""";"""";"""";"""";"""";""""",
