#,Unnamed: 1
"""Местное время в Амдерме"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""09.05.2023 15:00"";""-0.2"";""751.6"";""756.5"";""0.9"";""88"";""Ветер, дующий с северо-северо-запада"";""2"";"""";"""";""70 – 80%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""70 – 80%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.0"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 12:00"";""-0.1"";""750.7"";""755.7"";""0.9"";""87"";""Ветер, дующий с запада"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.1"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 09:00"";""-1.3"";""749.8"";""754.8"";""0.9"";""92"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.4"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 06:00"";""-1.8"";""748.9"";""754.0"";""0.0"";""98"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-4.8"";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""100-200"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""4.1"";""-2.1"";""0.4"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""20.0""",
"""09.05.2023 03:00"";""-1.5"";""748.9"";""753.9"";""-0.9"";""96"";""Ветер, дующий с юго-запада"";""7"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""1500-2000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""13.0"";""-2.0"";"""";"""";"""";"""";"""";""""",
"""09.05.2023 00:00"";""-2.3"";""749.8"";""754.9"";""-1.5"";""97"";""Ветер, дующий с юго-юго-запада"";""5"";"""";"""";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""7.0"";""-2.7"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 21:00"";""-3.6"";""751.3"";""756.3"";""-1.4"";""96"";""Ветер, дующий с юго-юго-запада"";""7"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""20.0"";""-4.1"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 18:00"";""-4.8"";""752.7"";""757.8"";""-1.1"";""90"";""Ветер, дующий с юго-юго-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";""-4.8"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-6.2"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""08.05.2023 15:00"";""-5.6"";""753.8"";""758.9"";""-0.3"";""85"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-7.8"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 12:00"";""-6.4"";""754.1"";""759.3"";""-0.3"";""81"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-9.2"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 09:00"";""-8.3"";""754.4"";""759.6"";""-0.6"";""83"";""Ветер, дующий с северо-востока"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""60%."";""200-300"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-10.7"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 06:00"";""-9.3"";""755.0"";""760.2"";""-1.1"";""88"";""Ветер, дующий с северо-северо-востока"";""5"";"""";"""";""70 – 80%."";"" "";"""";"""";""-9.4"";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""70 – 80%."";""200-300"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-11.0"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""19.0""",
"""08.05.2023 03:00"";""-9.1"";""756.1"";""761.2"";""-0.8"";""88"";""Ветер, дующий с востоко-северо-востока"";""6"";"""";""10"";""60%."";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""50%."";""200-300"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-10.8"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 00:00"";""-9.2"";""756.9"";""762.1"";""-0.8"";""86"";""Ветер, дующий с востоко-северо-востока"";""7"";"""";""10"";""70 – 80%."";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""20–30%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-11.1"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 21:00"";""-8.2"";""757.7"";""762.9"";""-1.1"";""88"";""Ветер, дующий с востоко-северо-востока"";""7"";""10"";""10"";""20–30%."";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""10%  или менее, но не 0"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-9.9"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 18:00"";""-7.4"";""758.8"";""764.0"";""-0.6"";""81"";""Ветер, дующий с востоко-северо-востока"";""8"";""10"";""10"";""20–30%."";"" "";"""";"""";"""";""-7.2"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""10%  или менее, но не 0"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-10.1"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""07.05.2023 15:00"";""-7.3"";""759.4"";""764.5"";""-0.3"";""88"";""Ветер, дующий с востоко-северо-востока"";""7"";"""";""10"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""200-300"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-9.0"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 12:00"";""-7.9"";""759.7"";""764.9"";""-0.6"";""85"";""Ветер, дующий с востоко-северо-востока"";""7"";"""";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-10.0"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 09:00"";""-8.2"";""760.3"";""765.6"";""-1.2"";""86"";""Ветер, дующий с востоко-северо-востока"";""8"";""10"";""11"";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""20.0"";""-10.1"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 06:00"";""-8.2"";""761.5"";""766.8"";""-0.6"";""86"";""Ветер, дующий с востоко-северо-востока"";""6"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-8.7"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-10.1"";""Следы осадков"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""18.0""",
"""07.05.2023 03:00"";""-8.1"";""762.1"";""767.3"";""-0.6"";""87"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""20.0"";""-9.9"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 00:00"";""-7.0"";""762.7"";""768.0"";""-0.7"";""82"";""Ветер, дующий с востоко-северо-востока"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-9.6"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 21:00"";""-6.2"";""763.4"";""768.6"";""-0.1"";""82"";""Ветер, дующий с востоко-северо-востока"";""3"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Снег и/или другие виды твердых осадков"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-8.8"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 18:00"";""-6.0"";""763.5"";""768.7"";""-0.2"";""81"";""Ветер, дующий с востоко-юго-востока"";""3"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-5.7"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""20.0"";""-8.7"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""06.05.2023 15:00"";""-5.8"";""763.7"";""768.9"";""0.6"";""81"";""Ветер, дующий с востоко-юго-востока"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-8.6"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 12:00"";""-5.8"";""763.1"";""768.3"";""0.6"";""83"";""Ветер, дующий с востоко-юго-востока"";""4"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-8.3"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 09:00"";""-6.1"";""762.5"";""767.7"";""0.8"";""81"";""Ветер, дующий с востоко-северо-востока"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Снег и/или другие виды твердых осадков"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-8.8"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 06:00"";""-6.2"";""761.7"";""766.9"";""1.1"";""83"";""Ветер, дующий с востока"";""4"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Снег и/или другие виды твердых осадков"";""-6.9"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-8.6"";""Следы осадков"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""18.0""",
"""06.05.2023 03:00"";""-6.8"";""760.6"";""765.8"";""1.5"";""86"";""Ветер, дующий с северо-востока"";""4"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-8.8"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 00:00"";""-6.8"";""759.1"";""764.2"";""1.6"";""86"";""Ветер, дующий с северо-востока"";""6"";"""";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-8.8"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 21:00"";""-6.4"";""757.5"";""762.7"";""2.2"";""87"";""Ветер, дующий с северо-северо-востока"";""7"";""10"";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-8.2"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 18:00"";""-6.2"";""755.3"";""760.4"";""2.1"";""89"";""Ветер, дующий с севера"";""8"";""11"";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-0.2"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""20.0"";""-7.8"";""Следы осадков"";""12"";"""";"""";"""";""""",
"""05.05.2023 15:00"";""-5.3"";""753.2"";""758.3"";""2.5"";""87"";""Ветер, дующий с северо-северо-востока"";""7"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""8.0"";""-7.2"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 12:00"";""-4.2"";""750.7"";""755.7"";""2.5"";""89"";""Ветер, дующий с севера"";""6"";"""";""11"";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""200-300"";"""";"""";""14.0"";""-5.7"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 09:00"";""-0.2"";""748.2"";""753.1"";""0.9"";""96"";""Ветер, дующий с запада"";""6"";""10"";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""20.0"";""-0.7"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 06:00"";""-0.3"";""747.3"";""752.2"";""0.2"";""96"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-0.4"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""70 – 80%."";""200-300"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.9"";""Следы осадков"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""19.0""",
"""05.05.2023 03:00"";""-0.2"";""747.1"";""752.1"";""-0.3"";""97"";""Ветер, дующий с запада"";""5"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""8.0"";""-0.6"";"""";"""";"""";"""";"""";""""",
"""05.05.2023 00:00"";""0.2"";""747.4"";""752.3"";""-0.4"";""97"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""-0.2"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 21:00"";""0.7"";""747.8"";""752.8"";""-10.4"";""95"";""Ветер, дующий с юго-запада"";""6"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""0.0"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 18:00"";""-1.0"";""758.2"";""763.3"";""8.3"";""91"";""Ветер, дующий с западо-юго-запада"";""3"";"""";""10"";""70 – 80%."";"" "";"""";"""";"""";""0.5"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""2500 или более, или облаков нет."";""Высококучевые башенкообразные или хлопьевидные."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""19.0"";""-2.3"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""04.05.2023 15:00"";""1.8"";""749.9"";""754.8"";""-1.8"";""88"";""Ветер, дующий с востоко-юго-востока"";""6"";"""";""13"";""100%."";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""0.0"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 12:00"";""0.0"";""751.7"";""756.7"";""-1.4"";""94"";""Ветер, дующий с востока"";""9"";""12"";""14"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""70 – 80%."";""200-300"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""16.0"";""-0.9"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 09:00"";""-0.2"";""753.1"";""758.2"";""-1.2"";""91"";""Ветер, дующий с востоко-юго-востока"";""11"";""14"";""14"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""70 – 80%."";""100-200"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные."";""19.0"";""-1.5"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 06:00"";""-1.4"";""754.3"";""759.4"";""-1.4"";""92"";""Ветер, дующий с востоко-юго-востока"";""11"";""13"";""14"";""90  или более, но не 100%"";"" "";"""";"""";""-2.1"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""50%."";""2500 или более, или облаков нет."";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-2.6"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью.""","""23.0"""
"""04.05.2023 03:00"";""-2.0"";""755.7"";""760.7"";""-1.8"";""93"";""Ветер, дующий с востока"";""10"";""13"";""13"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""19.0"";""-3.0"";"""";"""";"""";"""";"""";""""",
"""04.05.2023 00:00"";""-1.0"";""757.5"";""762.5"";""-0.4"";""94"";""Ветер, дующий с востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""16.0"";""-1.8"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 21:00"";""-0.7"";""757.9"";""763.0"";""-0.3"";""92"";""Штиль, безветрие"";""0"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.8"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 18:00"";""-1.0"";""758.2"";""763.3"";""1.2"";""91"";""Ветер, дующий с западо-юго-запада"";""3"";"""";""10"";""70 – 80%."";"" "";"""";"""";"""";""0.5"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""2000-2500"";""Высококучевые башенкообразные или хлопьевидные."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""19.0"";""-2.3"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""03.05.2023 15:00"";""0.1"";""757.0"";""762.0"";""0.9"";""86"";""Ветер, дующий с запада"";""7"";""10"";""12"";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-2.0"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 12:00"";""0.4"";""756.1"";""761.1"";""1.5"";""81"";""Ветер, дующий с западо-юго-запада"";""8"";"""";""17"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-2.6"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 09:00"";""0.3"";""754.6"";""759.5"";""1.0"";""82"";""Ветер, дующий с западо-юго-запада"";""14"";""19"";""20"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.4"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 06:00"";""-0.3"";""753.6"";""758.5"";""1.3"";""87"";""Ветер, дующий с западо-юго-запада"";""16"";""20"";""20"";""20–30%."";"" "";"""";"""";""-0.7"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.2"";""0.3"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""23.0""",
"""03.05.2023 03:00"";""0.0"";""752.3"";""757.3"";""1.3"";""89"";""Ветер, дующий с запада"";""14"";""19"";""25"";""60%."";"" "";"""";"""";"""";"""";""Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды."";""60%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.6"";"""";"""";"""";"""";"""";""""",
"""03.05.2023 00:00"";""0.7"";""751.0"";""756.0"";""1.9"";""90"";""Ветер, дующий с западо-юго-запада"";""15"";""20"";""25"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-0.7"";"""";"""";"""";"""";"""";""""",
