#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""Местное время на метеостанции им. М.В.Попова"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,
"""09.05.2023 20:00"";""-10.6"";""760.9"";""761.5"";""0.7"";""79"";""Ветер, дующий с северо-востока"";""1"";"""";"""";""100%."";""Снег неливневый. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-9.6"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-13.6"";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""09.05.2023 17:00"";""-10.3"";""760.2"";""760.8"";""1.1"";""82"";""Ветер, дующий с востока"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-12.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 14:00"";""-12.3"";""759.1"";""759.6"";""1.6"";""88"";""Ветер, дующий с северо-востока"";""2"";"""";"""";""60%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-13.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 11:00"";""-10.7"";""757.5"";""758.1"";""1.3"";""90"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-10.9"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""9.0"";""-12.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 08:00"";""-9.6"";""756.2"";""756.8"";""0.6"";""92"";""Ветер, дующий с северо-востока"";""3"";"""";"""";""90  или более, но не 100%"";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-10.4"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""9.0"";""-10.7"";""0.2"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""09.05.2023 05:00"";""-9.7"";""755.6"";""756.2"";""-0.1"";""93"";""Ветер, дующий с запада"";""1"";"""";"""";""100%."";""Снег неливневый. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""12.0"";""-10.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 02:00"";""-10.2"";""755.7"";""756.3"";""-0.4"";""92"";""Ветер, дующий с северо-востока"";""2"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""50-100"";"""";"""";""12.0"";""-11.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 23:00"";""-10.2"";""756.1"";""756.7"";""-0.8"";""92"";""Ветер, дующий с севера"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""16.0"";""-11.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 20:00"";""-10.4"";""756.9"";""757.5"";""-0.7"";""92"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";""-9.4"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""50-100"";"""";"""";""18.0"";""-11.5"";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""08.05.2023 17:00"";""-10.3"";""757.6"";""758.2"";""-1.0"";""92"";""Ветер, дующий с северо-востока"";""3"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Туман или ледяной туман или сильная мгла."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""50-100"";"""";"""";""14.0"";""-11.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 14:00"";""-11.3"";""758.6"";""759.2"";""-1.3"";""90"";""Штиль, безветрие"";""0"";"""";"""";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Туман или ледяной туман или сильная мгла."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""50-100"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""8.0"";""-12.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 11:00"";""-10.8"";""759.9"";""760.5"";""-1.5"";""91"";""Ветер, дующий с востока"";""2"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.9"";""-12.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 08:00"";""-11.1"";""761.4"";""762.0"";""-1.1"";""92"";""Ветер, дующий с юго-юго-востока"";""2"";"""";"""";""100%."";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-11.4"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""1.0"";""-12.1"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""08.05.2023 05:00"";""-11.1"";""762.5"";""763.1"";""-0.9"";""92"";""Ветер, дующий с юго-юго-запада"";""1"";"""";"""";""100%."";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""0.3"";""-12.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""08.05.2023 02:00"";""-10.6"";""763.4"";""764.0"";""-1.5"";""92"";""Ветер, дующий с запада"";""2"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""9.0"";""-11.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 23:00"";""-10.9"";""764.9"";""765.5"";""-0.4"";""93"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";"""";""-11.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 20:00"";""-10.5"";""765.3"";""765.9"";""-0.4"";""92"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";""-9.6"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""100-200"";"""";"""";""20.0"";""-11.5"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""07.05.2023 17:00"";""-10.0"";""765.7"";""766.3"";""-0.1"";""92"";""Ветер, дующий с западо-северо-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""19.0"";""-11.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 14:00"";""-9.7"";""765.8"";""766.4"";""-0.4"";""93"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""14.0"";""-10.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 11:00"";""-10.4"";""766.2"";""766.8"";""-0.1"";""92"";""Ветер, дующий с запада"";""6"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""9.0"";""-11.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 08:00"";""-11.3"";""766.3"";""766.8"";""0.0"";""92"";""Ветер, дующий с запада"";""6"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-15.9"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";"""";""2.1"";""-12.3"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""07.05.2023 05:00"";""-12.8"";""766.3"";""766.9"";""-0.6"";""92"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-13.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""07.05.2023 02:00"";""-14.0"";""766.9"";""767.5"";""-0.3"";""91"";""Ветер, дующий с запада"";""3"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-15.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 23:00"";""-13.6"";""767.2"";""767.8"";""0.0"";""92"";""Ветер, дующий с запада"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-14.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 20:00"";""-11.4"";""767.2"";""767.8"";""0.1"";""87"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";""-7.2"";"""";"""";"""";"""";"""";""20.0"";""-13.2"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""06.05.2023 17:00"";""-8.0"";""767.1"";""767.7"";""0.5"";""84"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""19.0"";""-10.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 14:00"";""-7.3"";""766.6"";""767.2"";""0.6"";""84"";""Ветер, дующий с западо-северо-запада"";""3"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-9.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 11:00"";""-9.2"";""766.0"";""766.6"";""0.9"";""91"";""Ветер, дующий с северо-запада"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""19.0"";""-10.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 08:00"";""-13.7"";""765.1"";""765.7"";""1.0"";""89"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""Облаков нет."";"" "";"""";"""";""-18.3"";"""";"""";"""";"""";"""";"""";""20.0"";""-15.1"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""06.05.2023 05:00"";""-16.7"";""764.1"";""764.7"";""0.9"";""88"";""Ветер, дующий с северо-запада"";""5"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""19.0"";""-18.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""06.05.2023 02:00"";""-17.6"";""763.2"";""763.8"";""0.9"";""89"";""Ветер, дующий с северо-северо-запада"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-19.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 23:00"";""-15.7"";""762.3"";""762.9"";""1.0"";""91"";""Ветер, дующий с севера"";""5"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-16.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 20:00"";""-12.7"";""761.3"";""761.9"";""0.9"";""87"";""Ветер, дующий с северо-северо-востока"";""5"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";""-7.8"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-14.4"";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""05.05.2023 17:00"";""-8.3"";""760.4"";""761.0"";""0.9"";""86"";""Ветер, дующий с северо-востока"";""7"";"""";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-10.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 14:00"";""-8.0"";""759.5"";""760.1"";""0.4"";""87"";""Ветер, дующий с востоко-северо-востока"";""8"";"""";""11"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""12.0"";""-9.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 11:00"";""-9.3"";""759.1"";""759.7"";""-0.3"";""88"";""Ветер, дующий с востока"";""9"";""11"";""11"";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""4.1"";""-11.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 08:00"";""-10.4"";""759.4"";""759.9"";""-0.5"";""90"";""Ветер, дующий с востока"";""7"";"""";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-13.6"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""11.0"";""-11.8"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""05.05.2023 05:00"";""-11.0"";""759.9"";""760.5"";""-1.3"";""88"";""Ветер, дующий с востока"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""1000-1500"";"""";"""";""20.0"";""-12.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 02:00"";""-11.6"";""761.2"";""761.8"";""-1.3"";""89"";""Ветер, дующий с востока"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-13.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 23:00"";""-12.2"";""762.5"";""763.0"";""-1.1"";""89"";""Ветер, дующий с востока"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-13.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 20:00"";""-13.6"";""763.6"";""764.2"";""-0.9"";""87"";""Ветер, дующий с востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";""-11.1"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-15.3"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""04.05.2023 17:00"";""-12.5"";""764.5"";""765.0"";""-0.6"";""81"";""Ветер, дующий с востоко-северо-востока"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-15.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 14:00"";""-12.1"";""765.1"";""765.7"";""-0.3"";""77"";""Ветер, дующий с востока"";""1"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-15.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 11:00"";""-11.9"";""765.4"";""766.0"";""0.2"";""77"";""Штиль, безветрие"";""0"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-15.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 08:00"";""-13.4"";""765.2"";""765.8"";""0.0"";""82"";""Ветер, дующий с востоко-юго-востока"";""2"";"""";"""";""100%."";"" "";"""";"""";""-19.0"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-15.9"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""04.05.2023 05:00"";""-18.5"";""765.2"";""765.8"";""0.6"";""88"";""Ветер, дующий с северо-северо-востока"";""4"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-20.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 02:00"";""-17.4"";""764.6"";""765.2"";""1.7"";""87"";""Ветер, дующий с севера"";""4"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""19.0"";""-19.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 23:00"";""-13.1"";""762.9"";""763.5"";""2.9"";""85"";""Ветер, дующий с северо-северо-востока"";""5"";"""";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""18.0"";""-15.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 20:00"";""-12.1"";""760.0"";""760.6"";""4.0"";""86"";""Ветер, дующий с северо-северо-востока"";""8"";"""";""11"";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-1.2"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""12.0"";""-14.0"";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""03.05.2023 17:00"";""-10.9"";""756.0"";""756.6"";""4.5"";""86"";""Ветер, дующий с севера"";""8"";""10"";""11"";""70 – 80%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""9.0"";""-12.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 14:00"";""-6.9"";""751.5"";""752.0"";""4.7"";""90"";""Ветер, дующий с севера"";""7"";"""";""12"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""9.0"";""-8.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 11:00"";""-4.2"";""746.8"";""747.3"";""2.8"";""92"";""Ветер, дующий с западо-северо-запада"";""9"";""11"";""13"";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";""-4.2"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""1000-1500"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""4.4"";""-5.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 08:00"";""-1.2"";""744.0"";""744.5"";""1.2"";""99"";""Ветер, дующий с запада"";""10"";""12"";""18"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-1.9"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.0"";""-1.4"";""3.0"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""81.0""",,,,,,
"""03.05.2023 05:00"";""-0.1"";""742.8"";""743.3"";""0.2"";""99"";""Ветер, дующий с западо-юго-запада"";""14"";""18"";""18"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.1"";""-0.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 02:00"";""-0.6"";""742.6"";""743.2"";""-0.4"";""99"";""Ветер, дующий с западо-юго-запада"";""11"";""14"";""14"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.4"";""-0.8"";"""";"""";"""";"""";"""";""""",,,,,,
