#
"""Местное время в Индиге"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss"""
"""14.05.2023 03:00"";""-0.7"";""767.4"";""767.8"";""-1.0"";""90"";""Ветер, дующий с юго-запада"";""4"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-2.2"";"""";"""";"""";"""";"""";"""""
"""14.05.2023 00:00"";""-0.1"";""768.4"";""768.7"";""-0.6"";""86"";""Ветер, дующий с юго-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-2.2"";"""";"""";"""";"""";"""";"""""
"""13.05.2023 21:00"";""0.1"";""769.0"";""769.4"";""-0.3"";""79"";""Ветер, дующий с западо-северо-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""19.0"";""-3.2"";"""";"""";"""";"""";"""";"""""
"""13.05.2023 18:00"";""0.2"";""769.3"";""769.6"";""0.6"";""82"";""Ветер, дующий с северо-северо-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";""1.0"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""19.0"";""-2.5"";""Следы осадков"";""12"";"""";"""";"""";"""""
"""13.05.2023 15:00"";""0.6"";""768.7"";""769.0"";""1.8"";""86"";""Ветер, дующий с северо-северо-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""16.0"";""-1.5"";"""";"""";"""";"""";"""";"""""
"""13.05.2023 12:00"";""0.7"";""766.9"";""767.2"";""2.4"";""90"";""Ветер, дующий с севера"";""5"";"""";""10"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""16.0"";""-0.8"";"""";"""";"""";"""";"""";"""""
"""13.05.2023 09:00"";""0.6"";""764.5"";""764.8"";""1.9"";""98"";""Ветер, дующий с северо-северо-запада"";""6"";"""";""10"";""90  или более, но не 100%"";""Дымка. "";""Морось."";""Туман или ледяной туман или сильная мгла."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""7.0"";""0.3"";"""";"""";"""";"""";"""";"""""
"""13.05.2023 06:00"";""0.3"";""762.6"";""763.0"";""2.1"";""100"";""Ветер, дующий с северо-северо-запада"";""7"";"""";""11"";""100%."";""Морось незамерзающая непрерывная слабая в срок наблюдения. "";""Морось."";""Туман или ледяной туман или сильная мгла."";""0.2"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""2.7"";""0.3"";""0.8"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""3.0"""
"""13.05.2023 03:00"";""0.4"";""760.5"";""760.9"";""0.9"";""100"";""Ветер, дующий с северо-запада"";""6"";"""";"""";""100%."";""Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. "";""Морось."";""Туман или ледяной туман или сильная мгла."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""0.9"";""0.4"";"""";"""";"""";"""";"""";"""""
"""13.05.2023 00:00"";""0.5"";""759.6"";""760.0"";""0.3"";""99"";""Ветер, дующий с северо-запада"";""6"";"""";"""";""100%."";""Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. "";""Морось."";""Туман или ледяной туман или сильная мгла."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""0.6"";""0.4"";"""";"""";"""";"""";"""";"""""
"""12.05.2023 21:00"";""1.0"";""759.3"";""759.7"";""-0.1"";""99"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";""Морось незамерзающая непрерывная умеренная в срок наблюдения. "";""Морось."";""Туман или ледяной туман или сильная мгла."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""0.9"";""0.9"";"""";"""";"""";"""";"""";"""""
"""12.05.2023 18:00"";""1.4"";""759.4"";""759.8"";""0.1"";""99"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";""Туман или ледяной туман. "";""Морось."";""Туман или ледяной туман или сильная мгла."";"""";""4.1"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""12.0"";""1.3"";""1.0"";""12"";"""";"""";"""";"""""
"""12.05.2023 15:00"";""1.3"";""759.3"";""759.7"";""0.1"";""99"";""Ветер, дующий с запада"";""5"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Морось незамерзающая непрерывная слабая в срок наблюдения. "";""Дождь."";""Морось."";"""";"""";"""";"""";"""";"""";"""";""0.3"";""1.1"";"""";"""";"""";"""";"""";"""""
"""12.05.2023 12:00"";""2.3"";""759.2"";""759.6"";""0.1"";""95"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""15.0"";""1.6"";"""";"""";"""";"""";"""";"""""
"""12.05.2023 09:00"";""2.7"";""759.1"";""759.5"";""-0.2"";""97"";""Ветер, дующий с севера"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""2.3"";"""";"""";"""";"""";"""";"""""
"""12.05.2023 06:00"";""1.7"";""759.3"";""759.7"";""-0.5"";""99"";""Ветер, дующий с востока"";""2"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""0.7"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""1.5"";""0.7"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""7.0"""
"""12.05.2023 03:00"";""1.2"";""759.8"";""760.2"";""-0.2"";""99"";""Ветер, дующий с востоко-юго-востока"";""3"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""1.1"";"""";"""";"""";"""";"""";"""""
"""12.05.2023 00:00"";""1.3"";""760.0"";""760.4"";""-0.5"";""99"";""Ветер, дующий с востоко-юго-востока"";""3"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""19.0"";""1.1"";"""";"""";"""";"""";"""";"""""
"""11.05.2023 21:00"";""1.7"";""760.5"";""760.9"";""-0.5"";""98"";""Ветер, дующий с юго-востока"";""3"";"""";"""";""100%."";""Дождь незамерзающий непрерывный слабый в срок наблюдения. "";""Дождь."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""5.0"";""1.4"";"""";"""";"""";"""";"""";"""""
"""11.05.2023 18:00"";""2.2"";""761.0"";""761.4"";""-1.0"";""93"";""Ветер, дующий с юго-востока"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";""2.8"";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""1.1"";""3.0"";""12"";"""";"""";"""";"""""
"""11.05.2023 15:00"";""2.5"";""762.0"";""762.4"";""-1.3"";""89"";""Ветер, дующий с юго-юго-востока"";""7"";"""";""10"";""90  или более, но не 100%"";""Ливневый(ые) дождь(и). "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""0.9"";"""";"""";"""";"""";"""";"""""
"""11.05.2023 12:00"";""1.9"";""763.3"";""763.7"";""-1.6"";""91"";""Ветер, дующий с юго-востока"";""7"";"""";""10"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""0.5"";"""";"""";"""";"""";"""";"""""
"""11.05.2023 09:00"";""1.6"";""764.9"";""765.3"";""-1.1"";""84"";""Ветер, дующий с юга"";""5"";"""";"""";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-0.9"";"""";"""";"""";"""";"""";"""""
"""11.05.2023 06:00"";""0.9"";""766.0"";""766.4"";""-1.2"";""78"";""Ветер, дующий с юга"";""7"";"""";""10"";""100%."";"" "";"""";"""";""-3.5"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-2.6"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""10.0"""
