#
"""Местное время в Индиге"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss"""
"""09.05.2023 21:00"";""0.2"";""761.4"";""761.8"";""1.0"";""91"";""Ветер, дующий с северо-запада"";""7"";"""";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""18.0"";""-1.1"";"""";"""";"""";"""";"""";"""""
"""09.05.2023 18:00"";""0.6"";""760.4"";""760.8"";""0.8"";""88"";""Ветер, дующий с западо-северо-запада"";""8"";""10"";""10"";""90  или более, но не 100%"";"" "";"""";"""";"""";""1.2"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-1.2"";""Следы осадков"";""12"";"""";"""";"""";"""""
"""09.05.2023 15:00"";""0.3"";""759.6"";""760.0"";""0.8"";""94"";""Ветер, дующий с запада"";""7"";"""";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""-0.5"";"""";"""";"""";"""";"""";"""""
"""09.05.2023 12:00"";""1.2"";""758.8"";""759.2"";""0.1"";""91"";""Ветер, дующий с запада"";""8"";""11"";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""18.0"";""-0.2"";"""";"""";"""";"""";"""";"""""
"""09.05.2023 09:00"";""0.8"";""758.7"";""759.1"";""-0.1"";""94"";""Ветер, дующий с запада"";""8"";""10"";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""13.0"";""-0.1"";"""";"""";"""";"""";"""";"""""
"""09.05.2023 06:00"";""0.3"";""758.8"";""759.2"";""-0.3"";""96"";""Ветер, дующий с запада"";""7"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""0.0"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""10.0"";""-0.3"";""0.3"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""12.0"""
"""09.05.2023 03:00"";""0.1"";""759.1"";""759.5"";""-0.3"";""95"";""Ветер, дующий с запада"";""6"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""14.0"";""-0.6"";"""";"""";"""";"""";"""";"""""
"""09.05.2023 00:00"";""0.2"";""759.4"";""759.8"";""-0.2"";""96"";""Ветер, дующий с запада"";""7"";"""";""12"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""15.0"";""-0.4"";"""";"""";"""";"""";"""";"""""
"""08.05.2023 21:00"";""0.4"";""759.6"";""760.0"";""-0.7"";""97"";""Ветер, дующий с запада"";""9"";""11"";""11"";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""6.0"";""0.0"";"""";"""";"""";"""";"""";"""""
"""08.05.2023 18:00"";""1.2"";""760.3"";""760.6"";""-1.1"";""89"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";""2.2"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-0.4"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""08.05.2023 15:00"";""1.5"";""761.4"";""761.8"";""-0.5"";""85"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""16"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.7"";"""";"""";"""";"""";"""";"""""
"""08.05.2023 12:00"";""2.0"";""761.9"";""762.3"";""-0.5"";""83"";""Ветер, дующий с западо-юго-запада"";""10"";""13"";""16"";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""50%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-слоистые, покрывающие все небо."";""20.0"";""-0.6"";"""";"""";"""";"""";"""";"""""
"""08.05.2023 09:00"";""0.8"";""762.4"";""762.7"";""-1.2"";""89"";""Ветер, дующий с юго-запада"";""11"";""12"";""14"";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.8"";"""";"""";"""";"""";"""";"""""
"""08.05.2023 06:00"";""-1.6"";""763.6"";""763.9"";""-0.4"";""99"";""Ветер, дующий с западо-юго-запада"";""6"";"""";"""";""90  или более, но не 100%"";""Туман или ледяной туман. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-2.2"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""2.4"";""-1.8"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""14.0"""
"""08.05.2023 03:00"";""-0.9"";""764.0"";""764.4"";""-0.6"";""98"";""Ветер, дующий с западо-юго-запада"";""4"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""-1.2"";"""";"""";"""";"""";"""";"""""
"""08.05.2023 00:00"";""-1.4"";""764.6"";""765.0"";""-0.6"";""86"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.4"";"""";"""";"""";"""";"""";"""""
"""07.05.2023 21:00"";""-1.8"";""765.2"";""765.6"";""-0.7"";""86"";""Ветер, дующий с западо-северо-запада"";""4"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""20–30%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.9"";"""";"""";"""";"""";"""";"""""
"""07.05.2023 18:00"";""-1.3"";""765.9"";""766.3"";""-0.1"";""81"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""60%."";"" "";"""";"""";"""";""-1.3"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.1"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""07.05.2023 15:00"";""-1.8"";""766.0"";""766.4"";""0.0"";""78"";""Ветер, дующий с севера"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.2"";"""";"""";"""";"""";"""";"""""
"""07.05.2023 12:00"";""-2.2"";""766.0"";""766.4"";""-0.1"";""74"";""Ветер, дующий с северо-северо-востока"";""5"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""60%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.2"";"""";"""";"""";"""";"""";"""""
"""07.05.2023 09:00"";""-2.9"";""766.1"";""766.5"";""-0.2"";""71"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.4"";"""";"""";"""";"""";"""";"""""
"""07.05.2023 06:00"";""-5.4"";""766.3"";""766.7"";""-0.3"";""80"";""Ветер, дующий с востока"";""2"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""-6.6"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-8.3"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""14.0"""
"""07.05.2023 03:00"";""-6.3"";""766.6"";""766.9"";""-0.7"";""81"";""Ветер, дующий с востока"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-9.1"";"""";"""";"""";"""";"""";"""""
"""07.05.2023 00:00"";""-6.5"";""767.3"";""767.7"";""-0.6"";""83"";""Ветер, дующий с востоко-северо-востока"";""3"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-8.9"";"""";"""";"""";"""";"""";"""""
"""06.05.2023 21:00"";""-4.7"";""767.9"";""768.3"";""0.0"";""78"";""Ветер, дующий с востока"";""3"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-8.0"";"""";"""";"""";"""";"""";"""""
"""06.05.2023 18:00"";""-3.3"";""767.9"";""768.3"";""-0.3"";""72"";""Ветер, дующий с северо-востока"";""5"";"""";"""";""60%."";"" "";"""";"""";"""";""-1.9"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.6"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""06.05.2023 15:00"";""-2.4"";""768.2"";""768.6"";""0.4"";""71"";""Ветер, дующий с северо-северо-востока"";""4"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""60%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.0"";"""";"""";"""";"""";"""";"""""
"""06.05.2023 12:00"";""-2.2"";""767.8"";""768.1"";""0.3"";""69"";""Ветер, дующий с севера"";""4"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.1"";"""";"""";"""";"""";"""";"""""
"""06.05.2023 09:00"";""-2.5"";""767.5"";""767.8"";""0.5"";""70"";""Ветер, дующий с северо-северо-востока"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""40%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-7.2"";"""";"""";"""";"""";"""";"""""
"""06.05.2023 06:00"";""-3.1"";""767.0"";""767.4"";""0.4"";""77"";""Ветер, дующий с северо-северо-востока"";""4"";"""";"""";""70 – 80%."";"" "";"""";"""";""-3.9"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-6.6"";""0.2"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""14.0"""
"""06.05.2023 03:00"";""-3.7"";""766.6"";""767.0"";""0.3"";""78"";""Ветер, дующий с северо-северо-востока"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-7.1"";"""";"""";"""";"""";"""";"""""
"""06.05.2023 00:00"";""-3.2"";""766.3"";""766.6"";""0.3"";""76"";""Ветер, дующий с северо-северо-востока"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-6.9"";"""";"""";"""";"""";"""";"""""
"""05.05.2023 21:00"";""-2.4"";""766.0"";""766.3"";""0.7"";""83"";""Ветер, дующий с севера"";""5"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.0"";"""";"""";"""";"""";"""";"""""
"""05.05.2023 18:00"";""-2.6"";""765.3"";""765.7"";""1.2"";""92"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-1.4"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""3.2"";""-3.8"";""0.4"";""12"";"""";"""";"""";"""""
"""05.05.2023 15:00"";""-2.3"";""764.1"";""764.5"";""1.6"";""89"";""Ветер, дующий с севера"";""6"";"""";"""";""90  или более, но не 100%"";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""9.0"";""-3.9"";"""";"""";"""";"""";"""";"""""
"""05.05.2023 12:00"";""-2.5"";""762.5"";""762.9"";""2.3"";""90"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""4.3"";""-4.0"";"""";"""";"""";"""";"""";"""""
"""05.05.2023 09:00"";""-2.4"";""760.2"";""760.6"";""2.0"";""86"";""Ветер, дующий с северо-северо-запада"";""6"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-2.4"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""13.0"";""-4.5"";"""";"""";"""";"""";"""";"""""
"""05.05.2023 06:00"";""-1.4"";""758.2"";""758.6"";""1.8"";""92"";""Ветер, дующий с юго-юго-запада"";""6"";"""";""11"";""100%."";"" "";"""";"""";""-1.4"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""19.0"";""-2.6"";""Осадков нет"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""14.0"""
"""05.05.2023 03:00"";""-0.7"";""756.4"";""756.7"";""2.2"";""96"";""Ветер, дующий с запада"";""9"";""11"";""11"";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""8.0"";""-1.2"";"""";"""";"""";"""";"""";"""""
"""05.05.2023 00:00"";""-0.3"";""754.2"";""754.6"";""0.7"";""99"";""Ветер, дующий с запада"";""8"";""10"";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""9.0"";""-0.5"";"""";"""";"""";"""";"""";"""""
"""04.05.2023 21:00"";""-0.1"";""753.5"";""753.9"";""1.3"";""99"";""Ветер, дующий с западо-юго-запада"";""10"";""13"";""18"";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""2.5"";""-0.3"";"""";"""";"""";"""";"""";"""""
"""04.05.2023 18:00"";""0.4"";""752.2"";""752.5"";""0.5"";""94"";""Ветер, дующий с западо-юго-запада"";""12"";""14"";""15"";""90  или более, но не 100%"";"" "";"""";"""";"""";""2.3"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""12.0"";""-0.5"";""Следы осадков"";""12"";"""";"""";"""";"""""
"""04.05.2023 15:00"";""1.3"";""751.7"";""752.1"";""-0.4"";""85"";""Ветер, дующий с юго-юго-запада"";""10"";""12"";""12"";""70 – 80%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""60%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-0.9"";"""";"""";"""";"""";"""";"""""
"""04.05.2023 12:00"";""1.0"";""752.1"";""752.5"";""0.7"";""92"";""Ветер, дующий с юго-запада"";""6"";"""";""10"";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.2"";"""";"""";"""";"""";"""";"""""
"""04.05.2023 09:00"";""1.7"";""751.4"";""751.8"";""-0.6"";""94"";""Ветер, дующий с юго-юго-запада"";""6"";"""";"""";""100%."";""Ливневый(ые) дождь(и). "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""18.0"";""0.9"";"""";"""";"""";"""";"""";"""""
"""04.05.2023 06:00"";""1.6"";""752.0"";""752.4"";""-0.5"";""96"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""1.4"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""1.0"";""2.0"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""19.0"""
"""04.05.2023 03:00"";""2.3"";""752.5"";""752.9"";""-0.6"";""97"";""Ветер, дующий с юго-запада"";""3"";"""";"""";""100%."";""Ливневый(ые) дождь(и). "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""1.8"";"""";"""";"""";"""";"""";"""""
"""04.05.2023 00:00"";""2.1"";""753.1"";""753.4"";""-1.5"";""89"";""Ветер, дующий с юга"";""2"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""0.5"";"""";"""";"""";"""";"""";"""""
"""03.05.2023 21:00"";""3.3"";""754.6"";""755.0"";""-0.9"";""78"";""Ветер, дующий с юга"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.3"";"""";"""";"""";"""";"""";"""""
"""03.05.2023 18:00"";""3.6"";""755.5"";""755.9"";""-1.5"";""80"";""Ветер, дующий с востоко-юго-востока"";""5"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";""4.0"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""50%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""0.5"";""Следы осадков"";""12"";"""";"""";"""";"""""
